candidate_id,decision_rule,edge_threshold,selection_cost_per_trade,development_dates,trade_count,trade_share,cumulative_gross_payoff,cumulative_net_payoff,mean_date_gross_payoff,mean_date_net_payoff,standard_error_date_net_payoff,maximum_drawdown_net_payoff,trade_win_share,mean_traded_edge,mean_paid_price,minimum_trade_count_satisfied,rule_order,mean_candidate_minus_strict_net_payoff,standard_error_paired_difference,within_one_standard_error,strict_development_winner,selected_strategy
6h_prior__tau_0.000,6h_prior,0.0,0.01,29,29,1.0,6.1355,5.845500000000002,0.2115689655172414,0.20156896551724146,0.0816068639812449,-0.5494999999999992,0.3448275862068966,0.18661598746081506,0.1332586206896552,True,2.0,0.0,0.0,True,False,False
6h_prior__tau_0.010,6h_prior,0.01,0.01,29,29,1.0,6.1355,5.845500000000002,0.2115689655172414,0.20156896551724146,0.0816068639812449,-0.5494999999999992,0.3448275862068966,0.18661598746081506,0.1332586206896552,True,2.0,0.0,0.0,True,False,False
6h_prior__tau_0.020,6h_prior,0.02,0.01,29,29,1.0,6.1355,5.845500000000002,0.2115689655172414,0.20156896551724146,0.0816068639812449,-0.5494999999999992,0.3448275862068966,0.18661598746081506,0.1332586206896552,True,2.0,0.0,0.0,True,False,False
6h_prior__tau_0.030,6h_prior,0.03,0.01,29,29,1.0,6.1355,5.845500000000002,0.2115689655172414,0.20156896551724146,0.0816068639812449,-0.5494999999999992,0.3448275862068966,0.18661598746081506,0.1332586206896552,True,2.0,0.0,0.0,True,True,False
6h_prior__tau_0.050,6h_prior,0.05,0.01,29,26,0.896551724137931,5.3175,5.057500000000002,0.18336206896551724,0.17439655172413798,0.07858133426987894,-0.5494999999999992,0.34615384615384615,0.20350524475524479,0.1416346153846154,True,2.0,-0.027172413793103447,0.02869038342198112,True,False,False
6h_prior__tau_0.075,6h_prior,0.075,0.01,29,23,0.7931034482758621,5.363,5.133000000000001,0.18493103448275863,0.17700000000000002,0.07835784169232715,-0.5299999999999994,0.391304347826087,0.2219090909090909,0.1581304347826087,True,2.0,-0.024568965517241376,0.028815808427942267,True,False,False
6h_prior__tau_0.100,6h_prior,0.1,0.01,29,21,0.7241379310344828,3.8630000000000004,3.653,0.13320689655172416,0.1259655172413793,0.07266589195823081,-0.8155000000000001,0.3333333333333333,0.23486147186147188,0.1493809523809524,True,2.0,-0.07560344827586206,0.04538274136564528,False,False,False
6h_prior__tau_0.150,6h_prior,0.15,0.01,29,16,0.5517241379310345,2.4495,2.2895000000000003,0.08446551724137931,0.07894827586206897,0.06168914576279281,-0.8155000000000001,0.3125,0.2683778409090909,0.15940625,True,2.0,-0.12262068965517242,0.05954500437726437,False,False,False
6h_prior__tau_0.200,6h_prior,0.2,0.01,29,11,0.3793103448275862,1.3094999999999999,1.1995,0.0451551724137931,0.041362068965517244,0.04624502966603695,-0.43500000000000005,0.2727272727272727,0.31177272727272726,0.1536818181818182,True,2.0,-0.16020689655172415,0.0706710556150792,False,False,False
event_day_open__tau_0.000,event_day_open,0.0,0.01,29,29,1.0,5.0954999999999995,4.8055,0.1757068965517241,0.16570689655172416,0.07494061079337822,-0.687,0.27586206896551724,0.17316771159874603,0.10015517241379307,True,3.0,-0.03586206896551725,0.0636825945035554,True,False,False
event_day_open__tau_0.010,event_day_open,0.01,0.01,29,29,1.0,5.0954999999999995,4.8055,0.1757068965517241,0.16570689655172416,0.07494061079337822,-0.687,0.27586206896551724,0.17316771159874603,0.10015517241379307,True,3.0,-0.03586206896551725,0.0636825945035554,True,False,False
event_day_open__tau_0.020,event_day_open,0.02,0.01,29,29,1.0,5.0954999999999995,4.8055,0.1757068965517241,0.16570689655172416,0.07494061079337822,-0.687,0.27586206896551724,0.17316771159874603,0.10015517241379307,True,3.0,-0.03586206896551725,0.0636825945035554,True,False,False
event_day_open__tau_0.030,event_day_open,0.03,0.01,29,29,1.0,5.0954999999999995,4.8055,0.1757068965517241,0.16570689655172416,0.07494061079337822,-0.687,0.27586206896551724,0.17316771159874603,0.10015517241379307,True,3.0,-0.03586206896551725,0.0636825945035554,True,False,False
event_day_open__tau_0.050,event_day_open,0.05,0.01,29,26,0.896551724137931,5.180999999999999,4.921,0.17865517241379308,0.1696896551724138,0.07458423104657284,-0.687,0.3076923076923077,0.18787062937062932,0.10842307692307693,True,3.0,-0.0318793103448276,0.06336917623756322,True,False,False
event_day_open__tau_0.075,event_day_open,0.075,0.01,29,21,0.7241379310344828,4.836499999999999,4.6265,0.1667758620689655,0.1595344827586207,0.07212041761759637,-0.5015,0.3333333333333333,0.21740909090909083,0.10302380952380952,True,3.0,-0.04203448275862068,0.06651299889174264,True,False,False
event_day_open__tau_0.100,event_day_open,0.1,0.01,29,18,0.6206896551724138,3.0560000000000005,2.8759999999999994,0.1053793103448276,0.09917241379310343,0.06102093376094734,-0.5619999999999999,0.2777777777777778,0.23902020202020197,0.108,True,3.0,-0.10239655172413793,0.06400647182540159,False,False,False
event_day_open__tau_0.150,event_day_open,0.15,0.01,29,15,0.5172413793103449,2.4130000000000003,2.2629999999999995,0.08320689655172414,0.07803448275862067,0.0562159033552416,-0.43,0.26666666666666666,0.26044242424242425,0.10579999999999999,True,3.0,-0.1235344827586207,0.06778951745473169,False,False,False
event_day_open__tau_0.200,event_day_open,0.2,0.01,29,10,0.3448275862068966,1.1199999999999999,1.02,0.03862068965517241,0.03517241379310345,0.0349604304458541,-0.30000000000000004,0.2,0.30390909090909085,0.088,True,3.0,-0.16639655172413795,0.076864722587108,False,False,False
no_trade,no_trade,,0.01,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,99.0,-0.20156896551724146,0.0816068639812449,False,False,False
