inventory_index,historical_path,filename,size_bytes,first_heading,total_cells,code_cells,markdown_cells,executed_code_cells,cells_with_outputs,top_level_imports,status,canonical_notebook,canonical_module,migration_action,rationale
12,notebooks/12_market_model_probability_discrepancy.ipynb,12_market_model_probability_discrepancy.ipynb,314873,12 Market and Model Probability Discrepancy,27,14,13,14,13,datetime; matplotlib; numpy; pandas; pathlib,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
13,notebooks/13_probability_scoring_and_calibration.ipynb,13_probability_scoring_and_calibration.ipynb,381038,13 Probability Scoring and Calibration,28,14,14,14,13,datetime; matplotlib; numpy; pandas; pathlib,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
14,notebooks/14_binary_trading_strategy_diagnostics.ipynb,14_binary_trading_strategy_diagnostics.ipynb,295967,14 Binary Trading Strategy Diagnostics,29,14,15,14,13,datetime; matplotlib; numpy; pandas; pathlib,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
15,notebooks/15_robustness_checks.ipynb,15_robustness_checks.ipynb,418430,15 Robustness Checks,34,17,17,17,16,datetime; matplotlib; numpy; pandas; pathlib,ARCHIVE_ONLY,None,None,Do not migrate,"Early API exploration, threshold classification, single-market analysis, preliminary scoring or obsolete trading work."
16,notebooks/17j_hko_polymarket_upper_tail_metadata_and_resolution_audit.ipynb,17j_hko_polymarket_upper_tail_metadata_and_resolution_audit.ipynb,57480,17j Hong Kong Polymarket upper-tail metadata and resolution audit,30,19,11,0,0,datetime; io; json; math; numpy; pandas; pathlib; re; requests; time; urllib,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
17,notebooks/17k_hko_upper_tail_certification_dossier.ipynb,17k_hko_upper_tail_certification_dossier.ipynb,41830,17k Hong Kong Upper-Tail Certification Dossier,3,2,1,0,0,__future__; dataclasses; datetime; io; json; math; pandas; pathlib; re; requests; time; typing; urllib,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
18,notebooks/17l_hko_contract_rule_text_certification.ipynb,17l_hko_contract_rule_text_certification.ipynb,43002,17l HKO Contract Rule Text Certification,2,1,1,0,0,__future__; dataclasses; datetime; hashlib; html; json; numpy; pandas; pathlib; re; requests; time; typing,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
19,notebooks/18a_hko_certified_upper_tail_price_panel.ipynb,18a_hko_certified_upper_tail_price_panel.ipynb,63292,18a HKO certified upper-tail market price panel,5,2,3,2,2,pandas; pathlib; subprocess,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
20,notebooks/18b_hko_certified_upper_tail_outcome_and_decision_panel.ipynb,18b_hko_certified_upper_tail_outcome_and_decision_panel.ipynb,3348,18b HKO certified upper-tail outcome and decision panel,4,2,2,0,0,pandas; pathlib; runpy,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
21,notebooks/18c_hko_daily_extract_outcome_reconciliation.ipynb,18c_hko_daily_extract_outcome_reconciliation.ipynb,30673,18c HKO Daily Extract outcome reconciliation replacement,12,11,1,11,6,__future__; io; json; numpy; pandas; pathlib; re; requests; time; typing,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
22,notebooks/18d_hko_daily_extract_source_discovery.ipynb,18d_hko_daily_extract_source_discovery.ipynb,40638,18d HKO Daily Extract source discovery,2,1,1,1,1,__future__; datetime; io; json; numpy; pandas; pathlib; re; requests; time; urllib,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
23,notebooks/18e_hko_historical_market_hko_alignment_to_20260531.ipynb,18e_hko_historical_market_hko_alignment_to_20260531.ipynb,715,18e HKO historical market--HKO alignment to 2026-05-31 (v2),2,1,1,0,0,,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
24,notebooks/18f_hko_metob_polymarket_historical_panel_to_20260531.ipynb,18f_hko_metob_polymarket_historical_panel_to_20260531.ipynb,55969,18f HKO Daily Extract and Polymarket historical panel to 2026-05-31,2,1,1,0,0,__future__; calendar; dataclasses; io; json; math; numpy; pandas; pathlib; re; requests; time; typing,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
25,notebooks/18i_hko_empirical_baseline_reporting.ipynb,18i_hko_empirical_baseline_reporting.ipynb,1790,18i Hong Kong empirical baseline reporting\n\nThis notebook runs the 18i reporting script. It consolidates the successful 18f official HKO/Polymarket panel and 18h narrow-window CLOB recovery into dis,3,1,2,0,0,pathlib,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
26,notebooks/18j_gamma_metadata_settlement_family_audit.ipynb,18j_gamma_metadata_settlement_family_audit.ipynb,6307,18j Gamma metadata settlement-family audit,10,5,5,0,0,IPython; os; pathlib,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
27,notebooks/18j_v2_fix_contract_event_parsing.ipynb,18j_v2_fix_contract_event_parsing.ipynb,1599,18j v2 contract-event parsing fix,4,2,2,0,0,IPython; pathlib,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
28,notebooks/18j_v2_fix_contract_event_parsing_COMPLETE.ipynb,18j_v2_fix_contract_event_parsing_COMPLETE.ipynb,2279,18j v2 complete contract-event parsing fix,4,3,1,0,0,IPython; os; pathlib,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
29,notebooks/18k_full_hko_contract_event_target_panel.ipynb,18k_full_hko_contract_event_target_panel.ipynb,1769,18k full HKO contract-event target panel,4,3,1,0,0,IPython; os; pathlib,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
30,notebooks/18k_full_hko_contract_event_target_panel_FIX.ipynb,18k_full_hko_contract_event_target_panel_FIX.ipynb,1670,18k full HKO contract-event target panel FIX,4,3,1,0,0,IPython; os; pathlib,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
31,notebooks/18k_full_hko_contract_event_target_panel_FIX2.ipynb,18k_full_hko_contract_event_target_panel_FIX2.ipynb,1667,18k full HKO contract-event target panel FIX2,4,3,1,0,0,IPython; os; pathlib,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
32,notebooks/18l_full_hko_contract_event_clob_price_recovery.ipynb,18l_full_hko_contract_event_clob_price_recovery.ipynb,6247,18l full HKO contract-event CLOB price recovery,4,3,1,3,3,IPython; os; pathlib,MIGRATE_LOGIC,01,settlement.py,Inspect and extract only non-duplicated certification logic,Filename indicates settlement or contract certification.
33,notebooks/18m_full_hko_market_only_baseline_diagnostics.ipynb,18m_full_hko_market_only_baseline_diagnostics.ipynb,1710,18m full HKO market-only baseline diagnostics,4,3,1,0,0,IPython; os; pathlib,REFERENCE_ONLY,09,reporting.py,Use only as a regression benchmark,Contains historical reporting outputs rather than the canonical source construction.
34,notebooks/18n_june_2026_contract_event_audit.ipynb,18n_june_2026_contract_event_audit.ipynb,60080,18n — June 2026 Hong Kong Polymarket contract-event audit,2,1,1,1,1,IPython; __future__; datetime; hashlib; json; pandas; pathlib; platform; re; requests; sys; time; typing,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
35,notebooks/18o_june_2026_hko_realised_outcomes.ipynb,18o_june_2026_hko_realised_outcomes.ipynb,151075,18o — June 2026 HKO realised outcomes,10,9,1,9,7,IPython; __future__; csv; datetime; hashlib; io; json; numpy; pandas; pathlib; platform; re; requests; sys; time; typing,MIGRATE_LOGIC,01,settlement.py / hko_source.py,"Extract only the latest source retrieval, event parsing, one-decimal settlement and integrity checks.",Supports the final certified HKO settlement target and eleven-event book.
36,notebooks/18p_june_2026_clob_market_price_recovery.ipynb,18p_june_2026_clob_market_price_recovery.ipynb,112288,18p — June 2026 CLOB market-price recovery,10,9,1,9,8,IPython; __future__; datetime; hashlib; json; math; numpy; pandas; pathlib; platform; requests; sys; time; typing; zoneinfo,MIGRATE_LOGIC,03,market_panel.py,"Extract final as-of price recovery, raw YES value, record age and complete-book checks.",Constructs the market panel required for categorical evaluation and reduced-form trading.
37,notebooks/18q_june_2026_ecmwf_single_run_forecasts.ipynb,18q_june_2026_ecmwf_single_run_forecasts.ipynb,110993,18q — June 2026 ECMWF IFS single-run forecasts,11,10,1,10,9,IPython; __future__; datetime; hashlib; json; math; numpy; pandas; pathlib; platform; requests; sys; time; typing; zoneinfo,MIGRATE_LOGIC,02,availability.py / weather_panel.py,"Extract forecast issue-time selection, HKT path checks, HKO outcome admissibility and residual construction.","Builds the expanded forecast-HKO training panel, including dates without Polymarket contracts."
38,notebooks/18r_june_2026_market_weather_common_support.ipynb,18r_june_2026_market_weather_common_support.ipynb,182723,18r — June 2026 market–weather exact common support,12,11,1,11,10,IPython; __future__; datetime; hashlib; json; math; numpy; pandas; pathlib; platform; sys; typing,MIGRATE_LOGIC,03 and 07,market_panel.py / inference.py,Extract support-key construction into Notebook 03 and comparison logic into Notebook 07.,Links the weather and market panels on exact common support.
39,notebooks/18sA_canonical_source_adapters.ipynb,18sA_canonical_source_adapters.ipynb,79060,18sA — Canonical source adapters and schema preflight,2,1,1,1,1,IPython; __future__; datetime; hashlib; numpy; pandas; pathlib; typing; zoneinfo,MIGRATE_LOGIC,00,config.py / manifest.py,"Extract source adapters, sample declarations, temporal fold rules and manifest logic.","Defines the canonical sample, information chronology and model-support controls used throughout the clean pipeline."
40,notebooks/18sB_expanded_sample_freeze.ipynb,18sB_expanded_sample_freeze.ipynb,76476,18sB — Expanded sample aggregation and freeze,2,1,1,1,1,IPython; __future__; datetime; hashlib; json; math; numpy; pandas; pathlib; platform; sys; zoneinfo,MIGRATE_LOGIC,00,config.py / manifest.py,"Extract source adapters, sample declarations, temporal fold rules and manifest logic.","Defines the canonical sample, information chronology and model-support controls used throughout the clean pipeline."
41,notebooks/18tA_hko_publication_availability.ipynb,18tA_hko_publication_availability.ipynb,67197,18tA — Canonical HKO publication-availability panel,8,7,1,7,6,IPython; __future__; datetime; hashlib; json; numpy; pandas; pathlib; platform; sys; typing; zoneinfo,MIGRATE_LOGIC,02,availability.py / weather_panel.py,"Extract forecast issue-time selection, HKT path checks, HKO outcome admissibility and residual construction.","Builds the expanded forecast-HKO training panel, including dates without Polymarket contracts."
42,notebooks/18tB_admissible_historical_information_sets.ipynb,18tB_admissible_historical_information_sets.ipynb,75390,18tB — Admissible historical information sets,9,8,1,8,8,IPython; __future__; datetime; hashlib; json; numpy; pandas; pathlib; platform; sys,MIGRATE_LOGIC,02,availability.py / weather_panel.py,"Extract forecast issue-time selection, HKT path checks, HKO outcome admissibility and residual construction.","Builds the expanded forecast-HKO training panel, including dates without Polymarket contracts."
43,notebooks/18uA_chronological_partition_and_folds.ipynb,18uA_chronological_partition_and_folds.ipynb,68392,18uA — Chronological partition and expanding validation folds,7,6,1,6,5,IPython; __future__; datetime; hashlib; json; numpy; pandas; pathlib; platform; sys; typing,MIGRATE_LOGIC,00,config.py / manifest.py,"Extract source adapters, sample declarations, temporal fold rules and manifest logic.","Defines the canonical sample, information chronology and model-support controls used throughout the clean pipeline."
44,notebooks/18uB_model_specific_freeze_support.ipynb,18uB_model_specific_freeze_support.ipynb,118220,18uB — Model-specific freezes and admissible selection support,8,7,1,7,6,IPython; __future__; datetime; hashlib; json; numpy; pandas; pathlib; platform; sys; typing,MIGRATE_LOGIC,00,config.py / manifest.py,"Extract source adapters, sample declarations, temporal fold rules and manifest logic.","Defines the canonical sample, information chronology and model-support controls used throughout the clean pipeline."
45,notebooks/18vA_residual_model_design_and_features.ipynb,18vA_residual_model_design_and_features.ipynb,66068,18vA — Residual-model design and leakage-safe feature panels,7,6,1,6,5,IPython; __future__; datetime; hashlib; json; numpy; pandas; pathlib; platform; sys; typing,MIGRATE_LOGIC,05,residual_models.py / catboost_quantiles.py / scoring.py,"Extract final feature construction, temporal OOF fitting, common-support scoring and selection logic.",Implements the five-family comparison under the final chronological CRPS design.
46,notebooks/18vB1_baseline_gp_temporal_oof.ipynb,18vB1_baseline_gp_temporal_oof.ipynb,3480140,18vB1 — Baseline and Gaussian-process temporal OOF predictions,6,5,1,5,4,IPython; __future__; datetime; hashlib; json; numpy; pandas; pathlib; platform; scipy; sklearn; sys; typing; warnings,MIGRATE_AND_AUDIT,04 and 05,gaussian_process.py,"Migrate GP implementation only after auditing scaling, kernel composition, noise, jitter and predictive variance.","This is the principal historical source for the GPR code, but it cannot be accepted without direct matrix reconciliation."
47,notebooks/18vB2_tree_temporal_oof.ipynb,18vB2_tree_temporal_oof.ipynb,957423,18vB2 — CatBoost quantile temporal OOF predictions,6,5,1,5,4,IPython; __future__; catboost; datetime; hashlib; json; numpy; pandas; pathlib; platform; sys; typing,MIGRATE_LOGIC,05,residual_models.py / catboost_quantiles.py / scoring.py,"Extract final feature construction, temporal OOF fitting, common-support scoring and selection logic.",Implements the five-family comparison under the final chronological CRPS design.
48,notebooks/18vC_common_support_scoring_and_selection.ipynb,18vC_common_support_scoring_and_selection.ipynb,52430,"18vC — Common OOF support, scoring and development-only selection",6,5,1,5,4,IPython; __future__; datetime; hashlib; json; numpy; pandas; pathlib; platform; sys; typing,MIGRATE_LOGIC,05,residual_models.py / catboost_quantiles.py / scoring.py,"Extract final feature construction, temporal OOF fitting, common-support scoring and selection logic.",Implements the five-family comparison under the final chronological CRPS design.
49,notebooks/18vD_selected_models_blind_predictions.ipynb,18vD_selected_models_blind_predictions.ipynb,358239,18vD — Pre-holdout final fits and blind holdout/June predictions,6,5,1,5,4,IPython; __future__; catboost; datetime; hashlib; json; numpy; pandas; pathlib; platform; scipy; sklearn; sys; typing; warnings,MIGRATE_LOGIC,05,residual_models.py / catboost_quantiles.py / scoring.py,"Extract final feature construction, temporal OOF fitting, common-support scoring and selection logic.",Implements the five-family comparison under the final chronological CRPS design.
50,notebooks/18wA_contract_probability_mapping.ipynb,18wA_contract_probability_mapping.ipynb,26398,18wA — Coherent contract-event probability mapping,2,1,1,1,1,IPython; __future__; datetime; hashlib; numpy; pandas; pathlib,MIGRATE_LOGIC,06,event_mapping.py / probability_adjustment.py,"Extract the 99-quantile mapping, coherence checks, dispersion adjustment and probability regularisation.",Creates the final coherent eleven-event probability books.
51,notebooks/18wB_development_probability_calibration.ipynb,18wB_development_probability_calibration.ipynb,26279,18wB — Development-only probability calibration,2,1,1,1,1,IPython; __future__; datetime; hashlib; numpy; pandas; pathlib,MIGRATE_LOGIC,06,event_mapping.py / probability_adjustment.py,"Extract the 99-quantile mapping, coherence checks, dispersion adjustment and probability regularisation.",Creates the final coherent eleven-event probability books.
52,notebooks/18wC_blind_calibrated_probability_release.ipynb,18wC_blind_calibrated_probability_release.ipynb,26153,18wC — Blind calibrated contract-probability release,2,1,1,1,1,IPython; __future__; datetime; hashlib; numpy; pandas; pathlib,MIGRATE_LOGIC,06,event_mapping.py / probability_adjustment.py,"Extract the 99-quantile mapping, coherence checks, dispersion adjustment and probability regularisation.",Creates the final coherent eleven-event probability books.
53,notebooks/18wD_holdout_external_probability_evaluation.ipynb,18wD_holdout_external_probability_evaluation.ipynb,61553,18wD — Locked holdout and June probability evaluation,2,1,1,1,1,IPython; __future__; datetime; hashlib; matplotlib; numpy; pandas; pathlib,MIGRATE_LOGIC,07,inference.py,Extract exact-common-book comparison logic. Replace the old period design with the final August external design and add paired date-level inference.,Supports continuous external CRPS and weather-versus-market probability evaluation.
54,notebooks/18xA_development_trading_selection.ipynb,18xA_development_trading_selection.ipynb,20496,18xA — Development-frozen trading strategy selection,2,1,1,1,1,__future__; datetime; hashlib; numpy; pandas; pathlib; typing,MIGRATE_LOGIC,08,trading.py,"Consolidate development selection, one-share simulation, cost sensitivity, record-age sensitivity and date bootstrap into one implementation.",Replaces multiple historical trading notebooks with the single final thesis strategy.
55,notebooks/18xB_blind_trading_signal_release.ipynb,18xB_blind_trading_signal_release.ipynb,13437,18xB — Outcome-blind trading signal release,2,1,1,1,1,__future__; datetime; hashlib; numpy; pandas; pathlib; typing,MIGRATE_LOGIC,08,trading.py,"Consolidate development selection, one-share simulation, cost sensitivity, record-age sensitivity and date bootstrap into one implementation.",Replaces multiple historical trading notebooks with the single final thesis strategy.
56,notebooks/18xC_controlled_unblinding_trading_simulation.ipynb,18xC_controlled_unblinding_trading_simulation.ipynb,19166,18xC — Controlled unblinding and trading simulation,2,1,1,1,1,__future__; datetime; hashlib; numpy; pandas; pathlib; typing,MIGRATE_LOGIC,08,trading.py,"Consolidate development selection, one-share simulation, cost sensitivity, record-age sensitivity and date bootstrap into one implementation.",Replaces multiple historical trading notebooks with the single final thesis strategy.
57,notebooks/18xD_trading_robustness_and_figures.ipynb,18xD_trading_robustness_and_figures.ipynb,16373,18xD — Trading robustness and dissertation figures,2,1,1,1,1,__future__; datetime; hashlib; numpy; pandas; pathlib; typing,MIGRATE_LOGIC,08,trading.py,"Consolidate development selection, one-share simulation, cost sensitivity, record-age sensitivity and date bootstrap into one implementation.",Replaces multiple historical trading notebooks with the single final thesis strategy.
58,notebooks/18yA_final_empirical_synthesis.ipynb,18yA_final_empirical_synthesis.ipynb,67819,18yA — Final empirical synthesis and evidence registry,6,5,1,5,4,IPython; __future__; datetime; hashlib; json; math; numpy; pandas; pathlib; platform; sys; typing,MIGRATE_LOGIC,09,reporting.py,"Extract table, figure, integrity and numerical reconciliation logic. Do not migrate old final numbers.",Generates the final thesis outputs from the September empirical release.
59,notebooks/18yB_thesis_output_freeze.ipynb,18yB_thesis_output_freeze.ipynb,52970,18yB — Dissertation output freeze,6,5,1,5,4,IPython; __future__; datetime; hashlib; json; matplotlib; numpy; pandas; pathlib; platform; re; sys; typing,MIGRATE_LOGIC,09,reporting.py,"Extract table, figure, integrity and numerical reconciliation logic. Do not migrate old final numbers.",Generates the final thesis outputs from the September empirical release.
60,notebooks/19a_hko_open_meteo_ecmwf_single_run_forecast_ingestion.ipynb,19a_hko_open_meteo_ecmwf_single_run_forecast_ingestion.ipynb,18598,19a HKO ECMWF single-run forecast ingestion,5,3,2,3,3,IPython; os; pathlib,MIGRATE_LOGIC,02,availability.py / weather_panel.py,"Extract forecast issue-time selection, HKT path checks, HKO outcome admissibility and residual construction.","Builds the expanded forecast-HKO training panel, including dates without Polymarket contracts."
61,notebooks/19b_common_support_market_vs_ecmwf_proxy_comparison.ipynb,19b_common_support_market_vs_ecmwf_proxy_comparison.ipynb,1328,19b common-support market versus ECMWF proxy comparison,4,3,1,0,0,IPython; os; pathlib,MIGRATE_LOGIC,07,inference.py,Extract exact-common-book comparison logic. Replace the old period design with the final August external design and add paired date-level inference.,Supports continuous external CRPS and weather-versus-market probability evaluation.
62,notebooks/19c_ecmwf_proxy_bias_scale_calibration.ipynb,19c_ecmwf_proxy_bias_scale_calibration.ipynb,2480,19c ECMWF proxy bias and scale correction,4,2,2,0,0,pandas; pathlib; subprocess; sys,REFERENCE_ONLY,05,None,Use only for historical reconciliation,Earlier Gaussian proxy correction was superseded by the current residual-distribution hierarchy.
63,notebooks/20a_supervised_feature_matrix.ipynb,20a_supervised_feature_matrix.ipynb,2342,20a supervised market-weather feature matrix,4,2,2,0,0,json; pandas; pathlib; subprocess; sys,MIGRATE_LOGIC,05,residual_models.py / catboost_quantiles.py / scoring.py,"Extract final feature construction, temporal OOF fitting, common-support scoring and selection logic.",Implements the five-family comparison under the final chronological CRPS design.
64,notebooks/20b_validation_design.ipynb,20b_validation_design.ipynb,1890,20b date-grouped validation design,3,2,1,0,0,pandas; pathlib; subprocess,MIGRATE_LOGIC,05,residual_models.py / catboost_quantiles.py / scoring.py,"Extract final feature construction, temporal OOF fitting, common-support scoring and selection logic.",Implements the five-family comparison under the final chronological CRPS design.
65,notebooks/20c_catboost_postprocessing.ipynb,20c_catboost_postprocessing.ipynb,1874,20c compact CatBoost post-processing — corrected version,3,2,1,0,0,pandas; pathlib; subprocess,MIGRATE_LOGIC,05,residual_models.py / catboost_quantiles.py / scoring.py,"Extract final feature construction, temporal OOF fitting, common-support scoring and selection logic.",Implements the five-family comparison under the final chronological CRPS design.
66,notebooks/20d_calibration_coherence.ipynb,20d_calibration_coherence.ipynb,2100,20d out-of-fold calibration and event-book coherence — corrected version,3,2,1,0,0,pandas; pathlib; subprocess,MIGRATE_LOGIC,06,event_mapping.py / probability_adjustment.py,"Extract the 99-quantile mapping, coherence checks, dispersion adjustment and probability regularisation.",Creates the final coherent eleven-event probability books.
67,notebooks/20e_locked_holdout_evaluation.ipynb,20e_locked_holdout_evaluation.ipynb,1822,20e single locked final chronological holdout evaluation,3,2,1,0,0,pandas; pathlib; subprocess,MIGRATE_LOGIC,05,residual_models.py / catboost_quantiles.py / scoring.py,"Extract final feature construction, temporal OOF fitting, common-support scoring and selection logic.",Implements the five-family comparison under the final chronological CRPS design.
68,notebooks/21a_simple_edge_trading.ipynb,21a_simple_edge_trading.ipynb,1030,21a simple edge trading — clean replacement,2,1,1,0,0,pathlib; subprocess,MIGRATE_LOGIC,08,trading.py,"Consolidate development selection, one-share simulation, cost sensitivity, record-age sensitivity and date bootstrap into one implementation.",Replaces multiple historical trading notebooks with the single final thesis strategy.
69,notebooks/21b_full_event_book_trading.ipynb,21b_full_event_book_trading.ipynb,1815,21b full Hong Kong event-book trading simulation,3,2,1,0,0,pandas; pathlib; subprocess,MIGRATE_LOGIC,08,trading.py,"Consolidate development selection, one-share simulation, cost sensitivity, record-age sensitivity and date bootstrap into one implementation.",Replaces multiple historical trading notebooks with the single final thesis strategy.
70,notebooks/21c_cost_staleness_robustness.ipynb,21c_cost_staleness_robustness.ipynb,2266,"21c transaction costs, staleness and robustness — final locked-holdout version",3,2,1,0,0,pandas; pathlib; subprocess,MIGRATE_LOGIC,08,trading.py,"Consolidate development selection, one-share simulation, cost sensitivity, record-age sensitivity and date bootstrap into one implementation.",Replaces multiple historical trading notebooks with the single final thesis strategy.
