family,comparison,estimate,estimate_type,mbb_ci95_lower,mbb_ci95_upper,mbb_p_two_sided,holm_p,holm_reject_5pct,dependence_sensitive_5pct,interpretation,inference_status,sampling_unit,primary_dependence_method
within_strategy_model_pairwise,taec11: rbf - matern32,-0.6785000000000001,paired total PnL difference,-1.2510250000000003,-0.10597500000000006,0.012598740125987402,0.062993700629937,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
taec_minus_fixed_by_model,TAEC - Fixed (raw),-6.658000000000001,paired TAEC-minus-Fixed total PnL,-9.971525,-3.3444750000000014,0.00019998000199980003,0.0007999200079992001,True,False,Statistically resolved negative effect under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
taec_minus_fixed_by_model,TAEC - Fixed (static),-7.6305,paired TAEC-minus-Fixed total PnL,-12.37265,-2.888350000000001,0.0024997500249975004,0.003999600039996,True,False,Statistically resolved negative effect under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
taec_minus_fixed_by_model,TAEC - Fixed (rbf),-8.314499999999999,paired TAEC-minus-Fixed total PnL,-12.970024999999998,-3.6589750000000008,0.0010998900109989002,0.0032996700329967006,True,False,Statistically resolved negative effect under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
taec_minus_fixed_by_model,TAEC - Fixed (matern32),-7.806,paired TAEC-minus-Fixed total PnL,-12.187074999999998,-3.4249250000000013,0.001999800019998,0.003999600039996,True,False,Statistically resolved negative effect under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
market_convergence,TAEC signed pre-cost convergence (raw) vs 0,1.0390000000000004,TAEC pre-cost signed convergence total,-2.248049999999999,4.3260499999999995,0.545045495450455,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
market_convergence,TAEC signed pre-cost convergence (static) vs 0,2.2505,TAEC pre-cost signed convergence total,-2.567249999999994,7.068249999999994,0.34836516348365165,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
market_convergence,TAEC signed pre-cost convergence (rbf) vs 0,1.7065000000000001,TAEC pre-cost signed convergence total,-2.8923749999999924,6.3053749999999935,0.45625437456254375,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
market_convergence,TAEC signed pre-cost convergence (matern32) vs 0,2.305,TAEC pre-cost signed convergence total,-2.185099999999997,6.795099999999997,0.30926907309269075,1.0,False,False,Not statistically resolved under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
risk_adjusted_sharpe_difference,"Sharpe(TAEC) - Sharpe(Fixed), raw",-0.5092618118519898,nonannualised Sharpe difference,-0.8166484231671765,-0.27080060627071156,0.0005999400059994001,0.0023997600239976003,True,False,Statistically resolved negative effect under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
risk_adjusted_sharpe_difference,"Sharpe(TAEC) - Sharpe(Fixed), static",-0.5021613593655843,nonannualised Sharpe difference,-0.7705510420266717,-0.1293662909197893,0.019598040195980403,0.049795020497950204,True,True,"The primary 7-date moving-block bootstrap with Holm correction indicates a negative effect, but the conclusion is dependence-sensitive because the ordinary-bootstrap significance classification differs.",EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
risk_adjusted_sharpe_difference,"Sharpe(TAEC) - Sharpe(Fixed), rbf",-0.5551154229104318,nonannualised Sharpe difference,-0.81876659124645,-0.16638596854112755,0.0197980201979802,0.049795020497950204,True,False,Statistically resolved negative effect under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
risk_adjusted_sharpe_difference,"Sharpe(TAEC) - Sharpe(Fixed), matern32",-0.537050087310835,nonannualised Sharpe difference,-0.809347453456798,-0.16725372783552658,0.0165983401659834,0.049795020497950204,True,False,Statistically resolved negative effect under the 7-date moving-block bootstrap after Holm correction.,EXPLORATORY_EXTENSION,settlement_date,7-consecutive-common-support-date moving-block bootstrap
