phase,relative_path,rows,columns,recommended_placement,rationale,sha256
18,outputs/v2_completion/phase18_rule_block_rankings.csv,64,16,REVIEW,Retain only when it directly answers a research question.,d6e91b01c15f35d1ce37655e8556aa2f506267abe2b925b6c6e7457e3b1ec43a
19,outputs/v2_completion/phase19_autocorrelation.csv,420,7,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,fb2c48e8c6e7c88d671a632f1a951dcfdcaa0d10717b86ac832e85a460667eb4
19,outputs/v2_completion/phase19_coverage_summary.csv,150,17,MAIN_TEXT_CANDIDATE,Condense to the rows and columns needed for the central argument.,f3ada723671d45501918e7a9ac5d482db0aecc001dd4f57aab6c80918b8d3dc5
19,outputs/v2_completion/phase19_cross_rule_residual_correlations.csv,12,9,REVIEW,Retain only when it directly answers a research question.,e854ca20a80fde1a9e6190014d28ce8b5d69c5cbcf3f82c72a61186376cbccec
19,outputs/v2_completion/phase19_dependence_summary.csv,10,27,REVIEW,Retain only when it directly answers a research question.,6772fdc55d800262e48c0fd80ad15edc421c368e38603b1fb87c3676bfe82b11
19,outputs/v2_completion/phase19_gap_updates.csv,2,5,REVIEW,Retain only when it directly answers a research question.,388ef28c97eabd1f8fbe214c2b520300e02ba1186434c2bcfdbba07059191df3
19,outputs/v2_completion/phase19_heteroskedasticity_quartiles.csv,120,14,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,d395798040cd19e849aabf679358af521a4a41fcebda1b827f3be0824228f2d5
19,outputs/v2_completion/phase19_pit_histogram.csv,180,10,REVIEW,Retain only when it directly answers a research question.,d7b42ac64978a36b31da0ce4b4085a1a29e979153fe0e53ab6861e0d7b76fbf4
19,outputs/v2_completion/phase19_pit_summary.csv,18,16,REVIEW,Retain only when it directly answers a research question.,33916bd0c436d34ee96646e028ad483c86245db4cf13dd3847fd883d43c5a04b
19,outputs/v2_completion/phase19_quantile_calibration.csv,990,9,REVIEW,Retain only when it directly answers a research question.,c2503dab44afa690e2d71e391dd22db0daa973a1173154e411388e7542e467aa
19,outputs/v2_completion/phase19_quantile_calibration_summary.csv,10,12,REVIEW,Retain only when it directly answers a research question.,eb4058e09dfa29d1470d9f86ba4368ad9616d16f2c41820faf2a9481682bd36e
19,outputs/v2_completion/phase19_reconciliation_checks.csv,8,5,REVIEW,Retain only when it directly answers a research question.,83da2f160f645bb06c5de4be7177c37799afee0d454818c17c0c2fa2ad6fe11d
19,outputs/v2_completion/phase19_sharpness_summary.csv,50,13,REVIEW,Retain only when it directly answers a research question.,a9f795967e49802b5324c6a0ea60cbd30cb24072979188c7b261c0df7a0a6aba
19,outputs/v2_completion/phase19_standardised_residual_summary.csv,50,17,REVIEW,Retain only when it directly answers a research question.,fa816688352250ccb0e016aa93f408ee62ac197d5a17e138cecd1b90a1c116ca
19,outputs/v2_completion/phase19_variance_regression_coefficients.csv,22,10,REVIEW,Retain only when it directly answers a research question.,6a39d81a5040393cd977516d82a17c2c08a88681d3f91df19413bdeb01d780c1
19,outputs/v2_completion/phase19_variance_regression_summary.csv,2,10,REVIEW,Retain only when it directly answers a research question.,809a27bbfec9141ddf82e9fa7ca72f9628db7ee58ccee058bbb6833da9570e1f
20,outputs/v2_completion/phase20_book_discrepancy_panel.csv,350,23,REVIEW,Retain only when it directly answers a research question.,1c8db830fa111aea06465eac011b5e09a8c7dac0afc18e818d123857ac6e0659
20,outputs/v2_completion/phase20_book_discrepancy_summary.csv,135,10,REVIEW,Retain only when it directly answers a research question.,2cc90bfe888b9629528232569f15554338c04be28cb191c87b362433d2c439e1
20,outputs/v2_completion/phase20_combination_weight_bootstrap.csv,5000,4,MAIN_TEXT_CANDIDATE,Condense to the rows and columns needed for the central argument.,2f80e48e2376efe81442daf941f8aa64fc336c3322e2c23ddbe5e88bc44c2302
20,outputs/v2_completion/phase20_combination_weight_grid.csv,1001,9,MAIN_TEXT_CANDIDATE,Condense to the rows and columns needed for the central argument.,c5dcc37b2c8088e098ac0c63082e43d5ce9a40da5b2d69bea3e73d24a4d49526
20,outputs/v2_completion/phase20_combination_weight_summary.csv,1,20,MAIN_TEXT_CANDIDATE,Condense to the rows and columns needed for the central argument.,f9de77fc88f8ba64fc34f261da4929aa679fd540cf060cf4aaa3d58363f1063b
20,outputs/v2_completion/phase20_date_score_panel.csv,418,7,REVIEW,Retain only when it directly answers a research question.,dbd37f59b5e21b619b0f2ade56818b01171b19a8d525ea1592b61e15b2dde118
20,outputs/v2_completion/phase20_discrepancy_regression_coefficients.csv,14,10,REVIEW,Retain only when it directly answers a research question.,9a1e1404d97cbc1ea3ee7f1e15f0e8c15c78f00b28c7259b477397c4828ecd32
20,outputs/v2_completion/phase20_discrepancy_regression_summary.csv,2,10,REVIEW,Retain only when it directly answers a research question.,30df49648e8e545e0b484a44a3b8a51f3c5bb175043b08a3cbb29b9dbb131da1
20,outputs/v2_completion/phase20_event_discrepancy_panel.csv,3850,25,REVIEW,Retain only when it directly answers a research question.,00347bbc1bc975a9b01d95d9479d1a70035bc7489f5aec80c93a6912fc46ef62
20,outputs/v2_completion/phase20_exact_common_support_event_panel.csv,3850,19,REVIEW,Retain only when it directly answers a research question.,73261a14cf4338ff68bbc6402eaada0bdaeb906bc360bf70411054a09b98b189
20,outputs/v2_completion/phase20_gap_updates.csv,2,5,REVIEW,Retain only when it directly answers a research question.,3f566b760a52de2ab79a04fc75db745c9e8abd764eeeb2269c70c6d73022cb2e
20,outputs/v2_completion/phase20_june_paired_differences.csv,16,12,MAIN_TEXT_CANDIDATE,Condense to the rows and columns needed for the central argument.,37bf77d0b8c3845ef5e96d630d4ef6fd7b4a9112e8e50edd7871881e3053cfce
20,outputs/v2_completion/phase20_outcome_column_audit.csv,2,6,REVIEW,Retain only when it directly answers a research question.,03ce5e107b0b28fbdec52ba42ac82bc489e9d08b88f8fb6a6b2437ef2a46b171
20,outputs/v2_completion/phase20_probability_column_audit.csv,3,12,REVIEW,Retain only when it directly answers a research question.,d3124814f4b8970d161ffe65fec4b9f4a2b1c6febb7d1840985886382dfb8ff2
20,outputs/v2_completion/phase20_rank_discrepancy_summary.csv,112,12,REVIEW,Retain only when it directly answers a research question.,f21b5a85891ae199e66a1df130a8a4b2ba73f2533af3d9820528e485fb2ea2e9
20,outputs/v2_completion/phase20_rule_specific_weight_diagnostics.csv,4,9,REVIEW,Retain only when it directly answers a research question.,d470f55bcbaa4f9423e77cef3a3f90a052ecde552c52b23994888f823579c91c
20,outputs/v2_completion/phase20_score_summary.csv,9,10,REVIEW,Retain only when it directly answers a research question.,ba6fece3c7cff65b1a40bc31fcd90c27e7084fb67d1460c32a27cc7669c15271
21,outputs/v2_completion/phase21_artifact_comparison.csv,116,6,REVIEW,Retain only when it directly answers a research question.,e644b4410665afdacbda3a3ab0746ca9075de36bb1ba80fb8d5c539a2929245c
21,outputs/v2_completion/phase21_gap_updates.csv,1,5,REVIEW,Retain only when it directly answers a research question.,9889575d27f0a95e15dfd8be8069e28bd2eb21ba388c8bfba8a4b52ea145ee5a
21,outputs/v2_completion/phase21_package_version_comparison.csv,6,4,REVIEW,Retain only when it directly answers a research question.,d6388a4a783523e9d03994555f786f60eddac96709ccfe81b39c5e48a16fe35a
21,outputs/v2_completion/phase21_random_seed_registry.csv,85,3,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,aad90b286de1bd898b8353bd839c4ada466d3cb314e6811980388c9a909d98d9
21,outputs/v2_completion/phase21_replay_command_registry.csv,6,6,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,ba5651793c9f1ccf97ca3d6f33acceb804d77510a1b4a9e9f4c5962137c52fb3
21,outputs/v2_completion/phase21_source_hash_inventory.csv,18,4,APPENDIX_OR_REPOSITORY,Important for auditability or diagnostics but usually too detailed for the main text.,ed57dfbb582f3d008f9c47fb10bab8c63a606eb521041346c4a7309c1036236d
